"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"31","0512716","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0512717","1","1","1","1","4000","0","0","0","0","0","0","0","0","0","3583","0","0","0","0","0","0","0","0","0","0","0","1227","0","0","0","0","2151","0","1306","0","2154","9","1295","10","49","7","2160","2341","1115","2624","850","2775","668","2222","1269","2714","794","2086","1341","1746","1640","2708","703","997","2433","2769","700","2036","1375","2410","992","0","1161","0","0","2212"
"31","0512801","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0512803","1","1","1","1","1072","0","0","0","0","0","0","0","0","0","983","0","0","0","0","0","0","0","0","0","0","0","404","0","0","0","0","521","0","430","0","514","0","453","5","12","2","499","588","358","637","326","692","256","547","412","649","313","556","380","525","410","719","223","315","627","722","225","505","424","602","328","0","398","0","0","523"
"31","0512811","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0512901","1","1","1","1","3573","0","0","0","0","0","0","0","0","0","3170","0","0","0","0","0","0","0","0","0","0","0","1120","0","0","0","0","1847","0","1185","0","1854","5","1162","8","57","4","1883","2040","1020","2245","833","2372","669","1848","1215","2338","747","1832","1204","1694","1313","2347","678","1016","2022","2291","732","1744","1282","2077","914","0","1083","0","0","1878"
"31","0512906","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0513001","1","4","1","1","49","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","18","0","16","0","19","0","17","0","0","0","20","18","16","20","16","25","11","15","22","19","16","17","16","22","13","23","14","15","21","28","6","20","15","22","14","0","17","0","0","17"
"31","0513201","1","4","1","1","292","0","0","0","0","0","0","0","0","0","256","0","0","0","0","0","0","0","0","0","0","0","143","0","0","0","0","94","0","154","0","91","1","176","1","6","0","65","110","133","151","95","151","90","95","150","127","122","106","137","164","66","175","67","84","160","173","70","92","146","122","113","0","135","0","0","105"
"31","0513203","1","4","1","1","685","0","0","0","0","0","0","0","0","0","625","0","0","0","0","0","0","0","0","0","0","0","431","0","0","0","0","159","0","454","0","154","3","465","1","9","0","139","264","321","286","319","325","257","197","402","282","325","250","336","410","157","377","205","271","313","378","190","254","325","234","332","0","398","0","0","189"
"31","0513301","1","4","1","1","4168","0","0","0","0","0","0","0","0","0","3750","0","0","0","0","0","0","0","0","0","0","0","2522","0","0","0","0","997","0","2677","0","945","12","2764","23","41","9","850","1449","2097","1668","1917","1902","1590","1087","2527","1739","1875","1478","2017","2495","925","2066","1446","1810","1697","2172","1284","1367","2112","1519","1909","0","2453","0","0","1060"
"31","0513614","1","4","1","1","3453","0","0","0","0","0","0","0","0","0","3005","0","0","0","0","0","0","0","0","0","0","0","2093","0","0","0","0","762","0","2192","0","721","8","2261","17","34","6","638","1132","1704","1250","1630","1449","1380","816","2062","1308","1564","1129","1667","1987","782","1599","1209","1393","1415","1640","1131","1081","1704","1241","1513","0","2049","0","0","802"
